Date;Close0;Close1;Close2;i0;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33
07.07.2009;1.3923;1.3983;1.39552;1.3953;1.39537333;1.39593;1.396784;1.39968667;1.40018857;1.40119;1.40171444;1.402223;1.40014467;1.3983248;1.401086;1.39680333;1.38875727;1.37857923;1.36965933;1.36531;1.36350684;1.35644238;16102;100.8365184;47.38705549;50.58441791;52.53560692;-52.52685611;-0.00044509;-0.01254509;0.01403083;-0.00390723;1.42;0.01450805;0.00275521;1.6285;1.62865
08.07.2009;1.3882;1.3923;1.3983;1.39025;1.39293333;1.39358;1.394384;1.39535333;1.39804571;1.39869;1.39974667;1.400363;1.399762;1.3976008;1.40091171;1.39770956;1.38976273;1.37971462;1.37058333;1.36605353;1.36373632;1.35759381;17711;98.89899133;40.80860098;47.54962981;50.5509819;-108.5534559;0.00578992;-0.00881008;0.0129225;-0.00493066;1.419354;-0.00241053;0.00191195;1.6136;1.6285
09.07.2009;1.4019;1.3882;1.3923;1.39505;1.39413333;1.395175;1.395244;1.39563667;1.39628857;1.3985275;1.39904667;1.399962;1.40077533;1.3977488;1.40057457;1.39872733;1.39101;1.38091;1.37145;1.36696059;1.36421316;1.35893476;18114;99.66257448;36.74221261;45.53908745;49.21696466;-145.3361314;-0.00375149;-0.01435149;0.0117225;-0.00574424;1.41872092;-0.03417445;0.00090241;1.607;1.6136
10.07.2009;1.3948;1.4019;1.3882;1.39835;1.39496667;1.3943;1.3951;1.39517;1.39551714;1.3961025;1.39811333;1.398622;1.39990867;1.3971128;1.40009486;1.39942956;1.39202455;1.38199308;1.37236867;1.36753471;1.36452053;1.36014048;17462;100.2359502;54.44015819;52.73128026;53.52044493;10.2511382;0.00902729;-0.01237271;0.0124725;-0.00343682;1.41730008;-0.05745864;0.00119406;1.6334;1.607
12.07.2009;1.39647;1.3948;1.4019;1.395635;1.39772333;1.3953425;1.394734;1.39532833;1.39535571;1.39563625;1.39614333;1.397949;1.40014667;1.3969796;1.39954543;1.39984;1.39263855;1.38342492;1.3733536;1.36809671;1.36487179;1.36121543;16415;99.14700028;46.56354581;49.11150106;51.16122112;-62.52055614;0.00530911;-0.00989089;0.01261417;-0.00127703;1.41593608;-0.07732323;0.00084257;1.6205;1.6334
13.07.2009;1.3977;1.39647;1.3948;1.397085;1.39632333;1.3977175;1.395814;1.39522833;1.39566714;1.39564875;1.39586556;1.396299;1.40008667;1.3969576;1.398614;1.40003556;1.39328764;1.38470031;1.3744096;1.36864024;1.36540863;1.36223162;1376;99.32854877;48.60412418;49.98124113;51.68718892;-35.18983993;-0.00079648;-0.00317648;0.01269;0.00066674;1.41462664;-0.06772602;0.00069081;1.62062;1.6205
14.07.2009;1.3966;1.3977;1.39647;1.39715;1.39692333;1.3963925;1.397494;1.395945;1.39542429;1.39578375;1.39575444;1.395939;1.39940667;1.3976176;1.398054;1.39995778;1.39398582;1.38577415;1.37566427;1.36928729;1.36581284;1.36323448;17239;99.25436728;50.23701628;50.6502443;52.0862437;-10.229164;0.0025573;-0.0078427;0.01255667;0.00115157;1.41336957;-0.06533288;0.00066215;1.6226;1.62062
15.07.2009;1.4107;1.3966;1.3977;1.40365;1.40166667;1.4003675;1.399254;1.399695;1.39805286;1.39733375;1.39744111;1.397249;1.399726;1.3987016;1.39784257;1.40014844;1.39482218;1.38712646;1.37708427;1.37027082;1.36642442;1.36443448;18091;99.52964652;48.62516608;50.00608926;51.68536345;-20.83988002;0.00399197;-0.00630803;0.01215667;0.00241216;1.41216279;-0.06704404;0.0005444;1.6307;1.6226
16.07.2009;1.4148;1.4107;1.3966;1.41275;1.40736667;1.40495;1.403254;1.401845;1.40185286;1.40014625;1.39927444;1.399177;1.400166;1.3995176;1.39837114;1.40044622;1.39582036;1.38848492;1.37871893;1.37129318;1.36731916;1.36555829;15870;99.75251025;65.28294088;57.47217756;56.22038434;247.9573434;0.01419312;-0.00300688;0.01193167;0.00306491;1.3832;-0.02266248;0.00157073;1.6422;1.6307
17.07.2009;1.41;1.4148;1.4107;1.4124;1.41183333;1.408025;1.40596;1.40437833;1.40301;1.40287125;1.40124111;1.400347;1.40061933;1.4003176;1.39883686;1.400704;1.39665855;1.38974492;1.3802576;1.37238965;1.36823495;1.36659067;17580;101.0427082;68.723266;59.37215827;57.44009076;206.0353353;0.01497982;0.00397982;0.01147333;0.00410718;1.383806;0.05683368;0.002684;1.6437;1.6422
19.07.2009;1.41244;1.41;1.4148;1.41122;1.41241333;1.411985;1.408908;1.40704;1.40553;1.40418875;1.40393444;1.402361;1.400502;1.4010312;1.399478;1.40136933;1.39781382;1.39085015;1.38175013;1.37350659;1.36921011;1.36720724;13534;100.8872353;60.53042626;56.20621969;55.53804639;106.787921;0.01226842;0.00346842;0.01138167;0.00467182;1.38511376;0.12091797;0.00314273;1.6341;1.6437
20.07.2009;1.4231;1.41244;1.41;1.41777;1.41518;1.415085;1.414208;1.41127333;1.40933429;1.40772625;1.40629;1.405851;1.40202867;1.4021976;1.399958;1.40200933;1.39918982;1.39223785;1.38319947;1.37473247;1.37024274;1.36774724;5424;101.2124513;63.13670129;57.44835602;56.31023453;102.5140884;0.0096215;0.0049915;0.01155083;0.0051914;1.38636921;0.14623066;0.00366096;1.635;1.6341
21.07.2009;1.4224;1.4231;1.41244;1.42275;1.41931333;1.416985;1.416548;1.41557333;1.41286286;1.4109675;1.40935667;1.407901;1.403682;1.4036256;1.40064943;1.40220267;1.40039527;1.39360862;1.3845088;1.37573835;1.37127011;1.3683739;15388;101.7735822;72.41942286;62.45819778;59.53412447;144.9218928;0.01796986;0.00266986;0.0118175;0.00624336;1.38757444;0.18419161;0.00487563;1.6546;1.635
22.07.2009;1.4219;1.4224;1.4231;1.42215;1.42246667;1.41996;1.417968;1.41744;1.41647714;1.4139925;1.41218222;1.410611;1.40544067;1.4041896;1.40096943;1.40243178;1.40146255;1.394884;1.3858088;1.37686776;1.37206905;1.3689101;14361;102.1618904;71.04877669;61.94246862;59.23275962;113.0395404;0.01854559;0.00724559;0.0115425;0.00625286;1.38980797;0.23661059;0.00571589;1.6457;1.6546
23.07.2009;1.4141;1.4219;1.4224;1.418;1.41946667;1.420375;1.418788;1.41732333;1.41696286;1.41618;1.41400444;1.412374;1.406494;1.4050376;1.401378;1.40239622;1.40211891;1.39567477;1.3872848;1.37794424;1.37275747;1.36939581;13513;102.4276041;69.94558905;61.55151285;59.00873066;96.32004335;0.01471051;0.00471051;0.0114925;0.00497426;1.39283134;0.27983502;0.00626919;1.649;1.6457
24.07.2009;1.4214;1.4141;1.4219;1.41775;1.41913333;1.41995;1.42058;1.41922333;1.41790571;1.4175175;1.41676;1.414744;1.408434;1.4059496;1.40203943;1.40219844;1.40270982;1.39658862;1.38870613;1.37915482;1.37349326;1.37010724;16129;100.8702475;54.53443985;55.65061171;55.56628233;34.23246999;0.01775186;0.00055186;0.0111425;0.00382624;1.39561283;0.27354329;0.00600902;1.6476;1.649
