Date;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35;i36;i37
07.07.2009;0.739032912;0.751973429;0.745977656;0.753000847;0.754773499;0.757820732;0.760513282;0.76633914;0.766128948;0.76790129;0.770269336;0.772065735;0.773438863;0.769865782;0.782741161;0.768416721;0.753077723;0.734438805;0.713602444;0.705287101;0.708704726;0.695151033;0.055615022;0.603523097;0.494848448;0.528725174;0.589538801;0.394994341;0.436349983;0.531919105;0.581609143;0.442581739;0.798363842;0.546476666;0.570824802;0.732904362;0.733359638
08.07.2009;0.730190226;0.739032912;0.751973429;0.741888636;0.749358217;0.752579964;0.755144226;0.756591695;0.761286624;0.762250408;0.765809958;0.767832718;0.772553628;0.76815521;0.782321341;0.770619655;0.755545718;0.737262769;0.715929727;0.707189622;0.709300933;0.698190168;0.061224988;0.465019697;0.416760987;0.482954823;0.553745752;0.302739247;0.503342418;0.573642954;0.517174462;0.41524317;0.796984002;0.529355787;0.55496178;0.687680214;0.732904362
09.07.2009;0.759737739;0.730190226;0.739032912;0.752450738;0.752021471;0.756136996;0.757068138;0.757229042;0.75731593;0.7618831;0.764223612;0.766920117;0.774897776;0.768504885;0.781509258;0.77309373;0.758607259;0.740235941;0.718112613;0.709510578;0.7105398;0.70172953;0.062630094;0.519604154;0.368492212;0.452632037;0.529686524;0.242171782;0.400824172;0.511739786;0.447410387;0.393510259;0.795631758;0.497212058;0.535970774;0.667648041;0.687680214
10.07.2009;0.744424794;0.759737739;0.730190226;0.759712183;0.753870967;0.754185646;0.756745994;0.756179312;0.755572692;0.756401744;0.762108468;0.763870524;0.772892922;0.767002228;0.780353761;0.774800765;0.761097567;0.742929799;0.720426471;0.710979618;0.711338371;0.70491196;0.06035682;0.560591703;0.578570069;0.561103924;0.607300521;0.498366484;0.538126531;0.533844765;0.491012934;0.455147656;0.792596877;0.473649453;0.541457161;0.747776732;0.667648041
12.07.2009;0.748026571;0.744424794;0.759737739;0.753737994;0.759989038;0.75651054;0.755927214;0.75653546;0.755207901;0.755347854;0.757644036;0.762338901;0.77344349;0.766687521;0.779030326;0.775798495;0.762604687;0.746491099;0.722907219;0.712417645;0.712250971;0.70774923;0.056706333;0.482748525;0.485073237;0.506510799;0.564751519;0.378538412;0.498176326;0.56156921;0.499249164;0.512841458;0.789683406;0.453547337;0.534845092;0.70862294;0.747776732
13.07.2009;0.750679377;0.748026571;0.744424794;0.756928629;0.756881909;0.761807062;0.758343288;0.756310519;0.755911654;0.755376109;0.757014552;0.758583806;0.773304691;0.766635542;0.776786752;0.776273877;0.764197939;0.749663274;0.725566971;0.713808413;0.713645723;0.710431406;0.004271105;0.495726451;0.509295276;0.519628126;0.574237438;0.423541996;0.432574452;0.636575977;0.503657672;0.564764785;0.786886473;0.463259303;0.531990252;0.708987161;0.70862294
14.07.2009;0.748306949;0.750679377;0.748026571;0.757071657;0.758213536;0.75885216;0.762101627;0.757922602;0.755362874;0.755681256;0.75676273;0.757764512;0.771731639;0.768194903;0.775437857;0.776084804;0.765911687;0.75233415;0.728727114;0.715464064;0.714695891;0.713078399;0.059579305;0.490423614;0.528678005;0.529717961;0.581434459;0.464642999;0.46860934;0.584449569;0.495906302;0.577715899;0.784201401;0.465681059;0.531451113;0.714996813;0.708987161
15.07.2009;0.778717163;0.748306949;0.750679377;0.771374504;0.768740801;0.767716865;0.766038935;0.766357877;0.761302781;0.759184804;0.760585077;0.76074583;0.772470349;0.770756035;0.774928577;0.776548275;0.767964611;0.755697642;0.732303675;0.717980689;0.716284823;0.716245731;0.062549902;0.510101848;0.509545047;0.520002883;0.574204515;0.447171073;0.484024237;0.601593389;0.47265161;0.61138965;0.781623748;0.463949438;0.529236054;0.739581753;0.714996813
16.07.2009;0.78755985;0.778717163;0.748306949;0.791398488;0.781391256;0.777936364;0.77498736;0.771194102;0.769889825;0.765542047;0.764739786;0.765133602;0.773488206;0.772683971;0.776201765;0.777272142;0.770414737;0.75907643;0.736420901;0.720596671;0.718609426;0.719211965;0.054806127;0.526033179;0.707275887;0.632605632;0.655994387;0.889780708;0.593631098;0.638470581;0.459570846;0.628826359;0.719759916;0.508861679;0.548542905;0.774486296;0.739581753
17.07.2009;0.777207436;0.78755985;0.778717163;0.790628335;0.791304463;0.784793965;0.78104097;0.776892591;0.77250467;0.771701509;0.769196672;0.767796305;0.7745369;0.774574106;0.777323564;0.777898773;0.772472152;0.762210326;0.740296356;0.723402283;0.720988719;0.721936873;0.060768241;0.618262498;0.748113177;0.661260939;0.677991999;0.820750662;0.602083843;0.716519103;0.432924458;0.656668196;0.721054318;0.589308394;0.569485232;0.779039063;0.774486296
