Date;Close0;Close1;MA5;MA10;MA20;MA60;MA120
07.07.2009;1.3923;1.3983;1.396784;1.402223;1.3972435;1.38377417;1.34532625
08.07.2009;1.3882;1.3923;1.394384;1.400363;1.3976485;1.3847975;1.34645292
09.07.2009;1.4019;1.3882;1.395244;1.399962;1.3985635;1.38611583;1.34757458
10.07.2009;1.3948;1.4019;1.3951;1.398622;1.3985835;1.38725417;1.34850208
12.07.2009;1.39647;1.3948;1.394734;1.397949;1.398907;1.38839367;1.34945767
13.07.2009;1.3977;1.39647;1.395814;1.396299;1.399062;1.38934533;1.3505285
14.07.2009;1.3966;1.3977;1.397494;1.395939;1.399195;1.390407;1.35146267
15.07.2009;1.4107;1.3966;1.399254;1.397249;1.400395;1.391697;1.352616
16.07.2009;1.4148;1.4107;1.403254;1.399177;1.400745;1.39296033;1.3537885
17.07.2009;1.41;1.4148;1.40596;1.400347;1.4016;1.39374867;1.35497517
19.07.2009;1.41244;1.41;1.408908;1.402361;1.402292;1.39458933;1.35622967
20.07.2009;1.4231;1.41244;1.414208;1.405851;1.403107;1.395671;1.357608
21.07.2009;1.4224;1.4231;1.416548;1.407901;1.4039315;1.39663267;1.35899383
22.07.2009;1.4219;1.4224;1.417968;1.410611;1.4046165;1.397666;1.360293
23.07.2009;1.4141;1.4219;1.418788;1.412374;1.4051615;1.39850267;1.361628
24.07.2009;1.4214;1.4141;1.42058;1.414744;1.4055215;1.399711;1.36294133
26.07.2009;1.4216;1.4214;1.42028;1.417244;1.4065915;1.40094733;1.36422717
27.07.2009;1.4234;1.4216;1.42048;1.418514;1.4078815;1.402069;1.36557967
28.07.2009;1.4166;1.4234;1.41942;1.418694;1.4089355;1.402959;1.36681633
29.07.2009;1.4049;1.4166;1.41758;1.418184;1.4092655;1.40340733;1.36782717
30.07.2009;1.4073;1.4049;1.41476;1.41767;1.4100155;1.403714;1.36879633
31.07.2009;1.4251;1.4073;1.41546;1.41787;1.4118605;1.40413067;1.36991133
02.08.2009;1.42503;1.4251;1.415786;1.418133;1.413017;1.4045125;1.37108075
03.08.2009;1.4411;1.42503;1.420686;1.420053;1.415332;1.40517417;1.37228325
04.08.2009;1.4407;1.4411;1.427846;1.422713;1.4175435;1.40587917;1.37344242
05.08.2009;1.4403;1.4407;1.434446;1.424603;1.4196735;1.4068425;1.37421408
06.08.2009;1.4346;1.4403;1.436346;1.425903;1.4215735;1.40751417;1.37478242
07.08.2009;1.417;1.4346;1.43474;1.425263;1.4218885;1.40756917;1.37528575
09.08.2009;1.41921;1.417;1.430362;1.425524;1.422109;1.40769617;1.3757325
10.08.2009;1.414;1.41921;1.425022;1.426434;1.422309;1.40766783;1.37615667
11.08.2009;1.415;1.414;1.419962;1.427204;1.422437;1.40741283;1.37672583
12.08.2009;1.4189;1.415;1.416822;1.426584;1.422227;1.40745783;1.37723167
13.08.2009;1.4292;1.4189;1.419262;1.427001;1.422567;1.40764283;1.37787
14.08.2009;1.4189;1.4292;1.4192;1.424781;1.422417;1.4080195;1.3786125
16.08.2009;1.41877;1.4189;1.420154;1.422588;1.4226505;1.40843733;1.37941058
17.08.2009;1.4082;1.41877;1.418794;1.419378;1.4219905;1.40874067;1.38014725
18.08.2009;1.4134;1.4082;1.417694;1.417258;1.4215805;1.408859;1.38088392
19.08.2009;1.4223;1.4134;1.416314;1.417788;1.4215255;1.40926067;1.38169642
20.08.2009;1.4253;1.4223;1.417594;1.418397;1.4219605;1.409504;1.38235725
21.08.2009;1.4335;1.4253;1.42054;1.420347;1.4233905;1.41006567;1.38306392
23.08.2009;1.43363;1.4335;1.425626;1.42221;1.424707;1.41065533;1.38374833
24.08.2009;1.4303;1.43363;1.429006;1.42335;1.424967;1.411492;1.3844875
25.08.2009;1.4297;1.4303;1.430486;1.4234;1.4252005;1.41226033;1.3853425
26.08.2009;1.4254;1.4297;1.430506;1.42405;1.4244155;1.412777;1.386155
27.08.2009;1.4342;1.4254;1.430646;1.425593;1.4240905;1.41351367;1.38713333
28.08.2009;1.43;1.4342;1.42992;1.427773;1.4235755;1.41410367;1.38807083
30.08.2009;1.4283;1.43;1.42952;1.429263;1.4232605;1.41467633;1.3889825
31.08.2009;1.4333;1.4283;1.43024;1.430363;1.4240755;1.415453;1.38978583
01.09.2009;1.4224;1.4333;1.42964;1.430073;1.424235;1.41569633;1.39059
02.09.2009;1.4263;1.4224;1.42806;1.429353;1.42485;1.416253;1.39145417
